"Direction","Year","Date","Weekday","Country","Commodity","Transport_Mode","Measure","Value","Cumulative"
"Reimports","2018","17/05/2018","Thursday","All","All","All","$","2000000","82000000"
"Reimports","2018","05/06/2018","Tuesday","All","All","All","$","2000000","91000000"
"Reimports","2018","06/08/2018","Monday","All","All","All","$","2000000","120000000"
"Reimports","2018","26/09/2018","Wednesday","All","All","All","$","2000000","146000000"
"Reimports","2018","30/10/2018","Tuesday","All","All","All","$","2000000","163000000"
"Reimports","2018","22/11/2018","Thursday","All","All","All","$","2000000","175000000"
"Reimports","2018","26/11/2018","Monday","All","All","All","$","2000000","177000000"
"Reimports","2018","08/12/2018","Saturday","All","All","All","$","2000000","187000000"
"Reimports","2018","13/12/2018","Thursday","All","All","All","$","2000000","190000000"
"Reimports","2018","20/12/2018","Thursday","All","All","All","$","2000000","195000000"
"Reimports","2018","14/05/2018","Monday","All","All","All","$","3000000","79000000"
"Reimports","2018","03/10/2018","Wednesday","All","All","All","$","3000000","151000000"
"Reimports","2018","20/04/2018","Friday","All","All","All","$","10000000","64000000"
"Imports","2018","25/12/2018","Tuesday","All","All","All","$","20000000","62704000000"
"Imports","2018","26/05/2018","Saturday","All","All","All","$","21000000","23145000000"
"Imports","2018","03/02/2018","Saturday","All","All","All","$","23000000","5432000000"
"Imports","2018","17/02/2018","Saturday","All","All","All","$","23000000","7380000000"
"Imports","2018","12/05/2018","Saturday","All","All","All","$","23000000","20839000000"
"Imports","2018","19/05/2018","Saturday","All","All","All","$","23000000","21913000000"
"Imports","2018","17/03/2018","Saturday","All","All","All","$","25000000","11804000000"
"Imports","2018","28/04/2018","Saturday","All","All","All","$","25000000","18615000000"
